id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50646,Pleasant Room along Bukit Timah,227796,Sujatha,Central Region,Bukit Timah,1.33432,103.78521,Private room,80,92,18,2014-12-26,0.18,1,365,0,
71609,Ensuite Room (Room 1 & 2) near EXPO,367042,Belinda,East Region,Tampines,1.34537,103.95887,Private room,145,92,20,2020-01-17,0.15,6,340,0,
71896,B&B  Room 1 near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34754,103.95958,Private room,85,92,24,2019-10-13,0.18,6,265,0,
71903,Room 2-near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34531,103.961,Private room,85,92,47,2020-01-09,0.34,6,365,0,
275344,15 mins to Outram MRT Single Room,1439258,Kay,Central Region,Bukit Merah,1.28836,103.81144,Private room,49,60,14,2022-07-09,0.11,44,296,1,S0399
289234,Booking for 3 bedrooms,367042,Belinda,East Region,Tampines,1.3449,103.95979,Private room,184,92,12,2019-01-01,0.10,6,285,0,
294281,5 mins walk from Newton subway,1521514,Elizabeth,Central Region,Newton,1.31142,103.83924,Private room,79,92,133,2020-01-21,1.03,7,365,0,
324945,Cozy Blue Room with large window!,1439258,Kay,Central Region,Bukit Merah,1.28828,103.8102,Private room,49,60,17,2022-07-25,0.14,44,181,3,S0399
330089,Cozy Blue Single Room,1439258,Kay,Central Region,Bukit Merah,1.28652,103.81225,Private room,55,60,12,2022-04-05,0.11,44,332,2,S0399
330095,10 mins to Redhill MRT @ Mini Orange Room(5),1439258,Kay,Central Region,Bukit Merah,1.28636,103.81138,Private room,55,60,3,2016-08-22,0.03,44,364,0,S0399
344803,Budget short stay room near  EXPO,367042,Belinda,East Region,Tampines,1.34917,103.9609,Private room,42,92,59,2022-08-26,0.46,6,365,1,
369141,5mins from Newton Train Station,1521514,Elizabeth,Central Region,Newton,1.31144,103.83784,Private room,79,92,81,2020-01-04,0.74,7,312,0,
369145,5 mins walk from Newton MRT,1521514,Elizabeth,Central Region,Newton,1.31129,103.83788,Private room,66,92,165,2020-01-10,1.30,7,365,0,
395191,Heritage Apartment Room near Orchard,1975201,Adi,Central Region,River Valley,1.29335,103.83768,Private room,100,93,27,2017-08-07,0.24,1,83,0,
